part,alpha,weight_balancing,model,split,dice,hausdorff
2,1.0,True,CHAOS_MR_adaptation,val,0.0,64.1985092163086
2,1.0,False,CHAOS_MR_adaptation,test,0.0012907486342076469,80.79483032226562
2,1.0,True,CHAOS_MR_adaptation,test,0.0,66.98180389404297
2,1.0,False,MMWHS_CT_adaptation,train,0.0772643186931364,33.52167892456055
2,1.0,True,MMWHS_CT_adaptation,train,0.05540553341774334,35.17593002319336
2,1.0,False,MMWHS_CT_adaptation,val,0.0799182379214108,33.38763427734375
2,1.0,True,MMWHS_CT_adaptation,val,0.05755753772348625,35.03330612182617
2,1.0,False,MMWHS_CT_adaptation,test,0.07575583238142676,33.35663986206055
2,1.0,True,MMWHS_CT_adaptation,test,0.056681059184480784,35.0935173034668
2,1.0,False,MMWHS_MR_adaptation,train,0.02376091836439444,35.86298751831055
2,1.0,True,MMWHS_MR_adaptation,train,0.019761244187489566,34.38866424560547
2,1.0,False,MMWHS_MR_adaptation,val,0.02399685149148419,35.89820098876953
2,1.0,True,MMWHS_MR_adaptation,val,0.022259236545203367,34.43706130981445
2,1.0,False,MMWHS_MR_adaptation,test,0.026798635940324,35.8024787902832
2,1.0,True,MMWHS_MR_adaptation,test,0.022764863097307752,34.36748123168945
2,1.2,False,CHAOS_CT_adaptation,train,0.005029339415981158,42.66324996948242
2,1.2,True,CHAOS_CT_adaptation,train,0.07621625471899676,37.89406204223633
2,1.2,False,CHAOS_CT_adaptation,val,0.006782129157087711,42.622535705566406
2,1.2,True,CHAOS_CT_adaptation,val,0.07009161478686102,37.89883041381836
2,1.2,False,CHAOS_CT_adaptation,test,0.005521789732315929,42.79372024536133
2,1.2,True,CHAOS_CT_adaptation,test,0.06963795908652716,38.070556640625
2,1.2,False,CHAOS_MR_adaptation,train,0.0016663662119011935,80.4627914428711
2,1.2,True,CHAOS_MR_adaptation,train,0.0001125267250972059,79.36100006103516
2,1.2,False,CHAOS_MR_adaptation,val,0.0021858486978065268,80.589599609375
2,1.2,True,CHAOS_MR_adaptation,val,0.00016072002571494582,80.12345886230469
2,1.2,False,CHAOS_MR_adaptation,test,0.003602139080530497,80.25405883789062
2,1.2,True,CHAOS_MR_adaptation,test,0.00028085044827006145,80.43512725830078
2,1.2,False,MMWHS_CT_adaptation,train,0.07154055513682456,39.3199462890625
2,1.2,True,MMWHS_CT_adaptation,train,0.05509958706896606,40.13328170776367
2,1.2,False,MMWHS_CT_adaptation,val,0.07343324143952504,39.34077835083008
2,1.2,True,MMWHS_CT_adaptation,val,0.05866627568225328,39.97462844848633
2,1.2,False,MMWHS_CT_adaptation,test,0.0686964284673756,39.331687927246094
2,1.2,True,MMWHS_CT_adaptation,test,0.05523618235555904,39.979942321777344
2,1.2,False,MMWHS_MR_adaptation,train,0.01609370099665663,39.68545913696289
